3042 a
3044 i
3046 u
3048 e
304A o
304B ka
304C ga
304D ki
304E gi
304F ku
3050 gu
3051 ke
3052 ge
3053 ko
3054 go
3055 sa
3056 za
3057 shi
3058 ji
3059 su
305A zu
305B se
305C ze
305D so
305E zo
305F ta
3060 da
3061 chi
3062 ji
3064 tsu
3065 zu
3066 te
3067 de
3068 to
3069 do
306A na
306B ni
306C nu
306D ne
306E no
306F ha
3070 ba
3071 pa
3072 hi
3073 bi
3074 pi
3075 fu
3076 bu
3077 pu
3078 he
3079 be
307A pe
307B ho
307C bo
307D po
307E ma
307F mi
3080 mu
3081 me
3082 mo
3084 ya
3086 yu
3088 yo
3089 ra
308A ri
308B ru
308C re
308D ro
308F wa
3092 o
3093 n
